City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
355,Mahebourg,MU,78.01,-20.41,57.7,shower rain,Shandrani Beachcomber Resort & Spa
356,Bambanglipuro,ID,76.17,-7.95,110.28,scattered clouds,Puri Brata
358,Komsomolskiy,UZ,50.0,40.43,71.72,mist,"Hotel ""Ikathouse"""
359,Balkhash,KZ,12.63,46.84,74.98,clear sky,Family
360,Erenhot,CN,23.92,43.65,111.98,clear sky,Erenhot Rurouni Youth Hostel
361,Suzun,RU,13.75,53.78,82.31,broken clouds,Elegant Lyuks
362,Harlingen,US,78.01,26.19,-97.7,broken clouds,Courtyard by Marriott Harlingen
363,Magadi,IN,73.4,12.97,77.23,broken clouds,Mindri of Magadi
364,Paita,PE,62.6,-5.09,-81.11,broken clouds,Hotel Náutico de Paita
365,Tuatapere,NZ,51.01,-46.13,167.68,scattered clouds,Ron and Tony's Bed & Breakfast
366,Acapulco,MX,84.2,16.86,-99.89,clear sky,Crowne Plaza Acapulco
367,Ketchikan,US,39.2,55.34,-131.65,broken clouds,Snows Cove Lodge
368,Shitanjing,CN,41.04,39.23,106.34,overcast clouds,
370,Baijiantan,CN,25.83,45.63,85.18,broken clouds,
371,Laurel,US,61.0,39.1,-76.85,clear sky,Days Inn & Suites by Wyndham Laurel Near Fort Meade
372,Pitimbu,BR,89.6,-7.47,-34.81,few clouds,Reserva do Abiaí
373,Auch,FR,52.0,43.65,0.58,clear sky,Hôtel de France
374,Oil City,US,48.99,41.43,-79.71,clear sky,Days Inn by Wyndham Oil City Conference Center
375,Birjand,IR,50.0,32.87,59.22,clear sky,ITTIC Birjand Tourist Hotel
376,Solton,RU,14.7,52.84,86.48,broken clouds,
378,Porbandar,IN,76.84,21.64,69.61,clear sky,Lords Inn Porbandar
379,Cape Coast,GH,82.54,5.11,-1.25,scattered clouds,Samrit Hotel
380,Havoysund,NO,33.8,71.0,24.66,fog,Arctic View Glamping & Restaurant
381,San Felipe,VE,86.5,10.34,-68.74,overcast clouds,Posada Llovizna Rodríguez
382,Altamont,US,43.0,42.21,-121.74,overcast clouds,Microtel Inn & Suites by Wyndham Klamath Falls
383,Camacha,PT,68.0,33.08,-16.33,few clouds,Hotel Porto Santo & Spa
385,Kavieng,PG,84.34,-2.57,150.8,scattered clouds,Nusa Island Retreat
386,Hun,LY,56.21,29.13,15.95,clear sky,Alrwasi Hotel
388,Ambilobe,MG,78.1,-13.2,49.05,overcast clouds,Hôtel & Restaurant DIANA Ambilobe
389,Nome,US,1.4,64.5,-165.41,haze,Dredge 7 Inn
394,Cockburn Town,TC,73.96,21.46,-71.14,few clouds,Osprey Beach Hotel
396,Maningrida,AU,83.35,-12.07,134.27,overcast clouds,Dhukurrdji Lodge
397,Alice Springs,AU,75.2,-23.7,133.88,scattered clouds,Desert Palms Alice Springs
399,Quillota,CL,87.01,-32.88,-71.27,overcast clouds,Open Hotel Quillota
400,Bridlington,GB,43.0,54.08,-0.19,few clouds,Expanse Bridlington Seafront Hotel
401,Liverpool,GB,45.0,53.41,-2.98,few clouds,Premier Inn Liverpool City Centre (Moorfields) hotel
402,Novovarshavka,RU,8.08,54.17,74.69,overcast clouds,
403,Marathon,US,46.4,44.9,-89.77,clear sky,
404,San Mauro Torinese,IT,55.99,45.11,7.75,overcast clouds,Parco Sassi Hotel
405,Corinto,GR,52.0,37.94,22.96,clear sky,Ephira Hotel
406,Beipiao,CN,29.39,41.79,120.78,clear sky,Beipiao Hotel
407,Karratha,AU,81.64,-20.74,116.85,clear sky,ibis Styles Karratha
408,Sawai Madhopur,IN,66.34,25.98,76.37,clear sky,Vivanta Sawai Madhopur Lodge
409,Tanggu,CN,37.4,39.02,117.65,haze,Ibis Tianjin Tanggu Hotel
410,Saint-Joseph,RE,78.8,-21.37,55.62,few clouds,"""Plantation Bed and Breakfast"
411,Baiyin,CN,42.01,36.56,104.21,overcast clouds,GreenTree Alliance Gansu Baiyin Renmin Road Hotel
413,Fare,PF,82.72,-16.7,-151.02,scattered clouds,Maitai Lapita Village Huahine
416,Robe,AU,59.76,-37.18,139.75,overcast clouds,Robe Harbour View Motel
417,Biloela,AU,69.78,-24.42,150.5,overcast clouds,Silo Motor Inn
418,Nova Aurora,BR,78.35,-22.87,-52.57,broken clouds,
